name_contains_bot,screen_name_contains_bot,name_screen_levenshtein,followers_count,following_count,favorites_count,tweets_count,verified,location,description_contains_link,description_contains_bot,tweets_contains_link_count,tweets_contains_bot_count,retweet_count,tweet_levenstein1,tweet_levenstein2,tweet_levenstein3,tweet_levenstein4,is_bot
False,False,1,154558,1028,15834,33819,True,"Wexford,Ireland/London,England",True,False,5,0,0,102,106,101,105,False
False,False,0.0,33129259,1823,1907,275816,True,,False,False,5,0,0,109,109,108,113,True
False,False,9,182,551,40244,5283,False,,False,False,5,0,4,42,40,48,42,False
False,False,6,90,227,1,3733,False,Wisconsin,False,False,5,0,0,84,94,86,90,False
False,False,0.0,1481850,898,10243,39342,True,contact@gotaga.tv,False,False,2,0,2,120,91,129,117,False
False,False,1,1520391,678,2869,2720,True,los angeles,False,False,4,0,0,102,109,113,98,False
False,False,10,106880,323,6306,9997,False,Pitchside,False,False,2,0,2,113,120,115,122,False
False,False,9,315,411,252,3106,False,"Florence, Tuscany",False,False,2,0,5,107,68,108,102,True
False,False,8,182454,856,707,6128,True,Jamaica,False,False,0,0,0,54,58,89,53,False
False,False,12,21,255,239,100,False,,True,False,3,0,5,113,113,120,121,True
False,False,6,1462188,946,3688,335374,True,,True,False,5,0,0,80,90,96,95,True
False,True,25,205,7,4,14599,False,"Washington, DC",False,False,4,4,0,96,103,94,86,True
False,False,4,203,695,10895,2114,False,,False,False,1,0,5,86,118,118,116,False
False,False,12,2,0,196,27,False,,True,False,2,0,4,110,104,113,132,True
False,False,7,1589,200,361,4747,False,,False,False,4,0,4,121,123,114,110,False
False,False,7,73,129,1089,1473,False,htx,False,False,3,0,4,30,44,111,47,False
False,False,9,9636,3861,53074,74803,False,,False,False,3,0,1,54,35,36,31,False
False,False,9,15,119,1411,264,False,,False,False,3,0,0,115,107,121,112,False
False,False,23,14370,2100,27118,64943,True,"Los Angeles, CA",False,False,1,0,0,69,108,61,63,False
False,False,3,23794,3272,1721,5299,True,"Brussels, Belgium",True,False,2,0,3,114,116,119,116,False
False,True,8,34,3,21,3547,False,,False,True,0,0,0,67,65,28,58,True
False,False,14,83674,3095,17743,75691,True,NYC / Kingston,False,False,4,0,0,97,95,63,53,False
False,False,12,20,46,933,366,False,"Tokyo-to, Japan",False,False,2,0,0,36,36,36,115,True
False,False,20,53,52,1717,2282,False,United States,False,False,2,0,4,96,116,118,118,False
False,False,1,13778,1567,16197,21888,True,"Bethesda, MD",False,False,2,0,1,35,108,122,57,False
False,False,20,113,1196,5991,585,False,ROCHESTER NY,False,False,0,0,1,23,22,74,122,False
False,False,4,1126,2008,25736,1018,False,"Jersey City, NJ",False,False,2,0,1,64,101,113,117,False
False,False,4,4855032,2776,634,40397,True,,False,False,3,0,2,62,121,26,95,False
False,False,10,110524,590,7194,76690,True,,False,False,3,0,0,81,92,109,97,False
False,False,11,704997,191,9845,7264,True,Mumbai,False,False,2,0,1,93,56,110,52,False
False,False,11,29,131,153,164,False,"Maryland, USA",False,False,3,0,4,76,107,101,106,False
False,False,6,397,183,16844,6876,False,,False,False,3,0,0,86,131,120,102,True
False,False,8,4528816,931,10267,15670,True,,False,False,1,0,4,105,116,111,123,False
False,False,22,451,860,67878,58075,False,,False,False,1,0,1,106,120,122,112,False
False,False,3,112616,305,251,8032,False,Santiago de Chile,False,False,3,0,1,94,96,103,124,False
False,False,4,34208,420,1882,33869,True,"Chapel Hill, NC",False,False,4,0,1,116,91,100,106,False
False,False,9,4500700,1,2,1073,True,"Moscow, Russia",False,False,3,0,0,102,120,129,110,False
False,False,4,2116429,14823,1868,481572,True,Spain,True,False,5,0,0,93,100,100,94,True
False,False,16,217,617,2708,5359,False,"Austintown, Ohio",False,False,0,0,4,115,116,119,109,True
False,False,9,476,837,157036,114951,False,"Fox Chase, PA • Chandler, AZ",False,False,3,0,5,37,57,122,96,False
False,False,9,1683575,981,374061,78726,True,"Jackson, Wyoming",False,False,1,0,5,111,116,109,112,False
False,False,13,155,675,8848,4186,False,"Syracuse, NY",False,False,3,0,3,104,67,66,107,False
False,False,1,1149303,2575,12642,15869,True,Perú,False,False,5,0,3,98,59,52,48,False
False,False,11,72655,2900,13271,45102,True,"Houston, TX",True,False,2,0,1,104,122,93,121,False
False,False,15,766103,318,1706,7327,True,Las Vegas ,False,False,4,0,1,9,30,116,37,False
False,False,8,87,460,32611,1452,False,US,True,False,5,0,5,102,109,103,89,True
False,False,10,7,327,2487,3115,False,U.S.A,False,False,2,0,5,112,112,109,115,True
False,False,12,304,483,7597,25214,False,In your mind,False,False,2,0,2,58,121,84,75,False
False,False,1,29027,123,724,16007,True,Exhaling ,False,False,2,0,1,128,113,128,113,False
False,False,6,92,407,4143,2108,False,"Columbus, Ohio",False,False,2,0,3,61,110,111,55,False
False,False,5,171902,335,424,5241,True,,False,False,5,0,0,108,91,101,90,False
False,False,14,234,203,45545,19334,False,"Ohio, USA",False,False,4,0,3,114,101,98,115,False
False,False,7,210454,6222,14340,27389,True,"Denver, CO",True,False,5,0,0,111,108,111,106,False
False,False,17,1809,2735,39031,74149,False,Chile ~ She/Her,False,False,4,0,3,124,116,115,119,False
False,False,8,6484692,344,2213,4127,True,,False,False,2,0,3,125,122,114,112,False
False,False,12,29,84,1994,2656,False,State of Confusion,False,False,5,0,1,112,111,116,111,False
False,False,9,1635,399,74105,163740,False,frostburg comp sci,False,False,2,0,5,72,61,33,126,False
False,False,8,30,139,47,2033,False,,False,False,5,0,0,23,115,62,110,False
False,False,11,552,398,37838,50364,False,Earth,False,False,1,0,2,79,80,116,78,False
False,False,4,60015,629,1134,179022,True,INDIA,False,False,5,0,0,94,93,97,101,False
False,False,7,102,392,46009,1751,False,,False,False,0,0,4,64,109,113,112,False
False,False,1,1717297,4958,24179,73547,True,"Secaucus, NJ",True,False,2,0,0,47,53,69,89,True
False,False,12,298210,109,21,11413,False,New Media,False,False,2,0,2,106,123,119,120,True
False,False,5,456,290,9562,42499,False,"Chicago, IL",False,False,0,0,4,65,69,63,84,False
False,False,1,29442,534,1344,1981,False,Los Angeles,False,False,3,0,2,121,52,113,121,False
False,False,16,1307157,35,3498,4216,True,,False,False,3,0,1,46,124,28,24,False
False,False,10,45,103,184,1259,False,Florida,False,False,5,0,0,35,25,25,26,False
False,False,8,586,874,28496,31012,False,Milwaukee native in Florida  ,False,False,3,0,4,111,119,116,107,False
False,False,1,1692,561,2113,777,False,Virginia,False,False,4,0,0,122,106,103,101,False
False,False,8,17768,4,6095,622,True,LOS ANGELES,False,False,4,0,3,78,122,100,39,False
False,False,1,1656,1296,5880,7565,True,"New York, NY",False,False,0,0,4,105,97,113,112,False
False,False,3,19699,265,1148,2600,True,"Montana, USA",False,False,0,0,0,55,55,52,93,False
False,False,1,2580,691,8838,10184,True,"Atlanta, GA",False,False,2,0,1,119,111,111,121,False
False,False,13,77,33,21,8537,False,"Ontario, Canada",False,True,0,0,0,92,48,50,53,True
False,False,5,20,127,969,1168,False,"Michigan, USA",False,False,0,0,0,18,51,44,28,True
False,False,4,604,101,95,1213,False,"Nashville, TN",False,False,1,0,0,131,130,113,116,False
False,False,14,82,42,2501,604,False,,False,False,5,0,1,82,105,75,83,False
False,False,7,279,475,3242,1597,False,,False,False,2,0,1,33,22,129,60,False
False,False,7,3714,1201,128898,35606,True,,False,False,3,0,5,124,117,119,111,False
False,False,10,300,313,14369,19795,False,"Carmel, IN",False,False,4,0,3,58,67,118,66,True
False,False,7,200007,1148,2947,53669,False,東京都世田谷区桜新町,False,False,2,0,2,136,67,118,65,False
False,False,9,778,831,8288,165846,False,,True,False,0,0,0,93,128,107,103,True
False,False,11,190,336,848,260,False,"Champaign, IL",False,False,3,1,1,114,102,123,108,False
False,False,1,2287518,745,12428,3002,True,BobSaget.com,False,False,3,0,2,112,121,110,107,False
False,False,9,29131,1609,25614,12196,True,"Mordor, New Jersey",False,False,3,0,0,109,56,114,36,False
False,False,16,797,436,1818,2395,False,"New Orleans, LA",False,False,4,0,2,119,52,110,58,False
False,False,3,1475223,82,162,15256,True,Brazil,False,True,2,0,3,119,120,115,120,False
False,False,14,31,468,4053,354,False,"Orléans, France",True,False,4,0,4,54,97,56,53,True
False,False,3,847986,29,1082,3023,True,"Detroit, MI",False,False,4,0,1,108,117,105,105,False
False,False,9,22842,18806,43,11504,False,"Cairo, Egypt",True,False,3,0,1,57,68,51,64,False
False,False,9,1031,867,40933,46305,False,NYC,False,False,2,0,1,54,53,55,52,False
False,False,15,0,0,25,197,False,,False,False,3,0,5,125,110,119,115,True
False,False,13,105,277,1122,6340,False,Allegra e ottimista,False,False,0,0,5,110,124,102,102,False
False,False,6,1082,1729,4530,43769,False,Michigan,False,False,2,0,0,78,53,42,102,False
False,False,6,197,505,5,4748,False,America ,False,False,1,0,0,40,50,80,68,False
False,False,18,6395,1861,23974,8591,False,"Chicago, IL",False,False,1,0,3,110,114,117,113,False
False,False,3,1618871,84,69,17132,True,Roma e Torino ,True,False,1,0,5,106,97,97,95,False
False,False,3,314240,11520,465731,269958,True,"Palm Bay, FL",False,False,2,0,2,122,115,101,117,False
False,False,14,426,1688,76,37356,False,👣Indus Valley👣🇮🇳👣🇬🇧,False,False,2,0,2,111,126,111,115,False
False,False,11,45,81,369,82,False,,True,False,3,0,0,16,26,27,35,True
False,False,7,3645,4996,15186,36826,False,Runnymede Poultry Farm,False,False,1,0,3,115,97,113,122,False
False,False,17,14,33,1202,1528,False,hazebrouck,False,False,2,0,0,62,115,99,50,True
False,False,3,144881,2955,7554,19020,True,Los Angeles,True,False,5,0,0,102,82,80,102,False
False,False,12,17205,7173,749,23381,False,الرياض,False,False,2,0,5,75,111,92,100,False
False,False,4,49,356,17439,5169,False,"Goshen, KY",False,False,4,0,0,56,79,47,38,False
False,False,7,41,346,2368,3421,False,Oklahoma,False,False,3,0,2,105,78,107,73,True
False,False,3,1182159,597,372,2714,True,"Long Beach, CA",False,False,2,0,1,101,72,90,83,False
False,False,8,205,366,3885,790,False,,False,False,2,0,3,128,111,115,112,False
False,False,7,1175075,1290,169,28850,True,,False,False,4,0,1,82,100,102,116,False
False,False,12,20360,1279,18516,6766,True,"New York, USA",False,False,4,0,1,97,72,84,94,False
False,False,5,8,91,19,25,False,The City,False,False,4,0,1,126,59,22,23,False
False,False,7,319,130,422,1378,False,"Pennsylvania, USA",False,False,1,0,0,114,89,94,91,False
False,False,12,499,348,27373,20914,False,tri-state area,False,False,0,0,2,62,94,64,66,False
False,False,12,11392,11375,30841,97283,False,"Williamsburg, VA",False,False,4,0,2,112,113,114,118,False
False,False,10,2092,2110,10468,26358,True,"West Chester, PA",False,False,4,0,1,106,123,46,41,False
False,False,13,55537,22899,17688,18948,False,東京都港区六本木,False,False,4,0,1,44,76,112,42,False
False,False,1,278928,3641,21943,49670,True,"Los Angeles, CA",False,False,1,0,0,59,85,65,62,False
False,False,33,238175,1589,10271,34978,True,Everywhere,False,False,0,0,5,111,107,111,112,False
False,False,1,3903,1057,5711,19822,True,East Coast,False,False,3,0,0,106,105,100,131,False
False,False,9,291,1418,27334,3787,False,,False,False,1,0,2,73,124,63,21,False
False,False,1,4158254,16,201,5564,True,England,False,False,4,0,1,129,136,131,130,False
False,False,10,1434,3713,62828,9997,False,,False,False,3,0,2,132,118,129,132,False
False,False,10,3,72,1486,2263,False,"Ankara, Türkiye",False,False,0,0,3,57,65,66,86,True
False,False,4,51236,255,3196,21172,True,,False,False,4,0,3,123,54,60,77,False
False,False,14,166,267,1,2098,False,Florida,True,False,5,0,0,84,66,74,61,True
False,False,13,437966,1106,221,3991,True,,False,False,5,0,0,101,104,100,99,False
False,False,4,1265,845,17357,19933,False,"ZN, Rio de Janeiro ",False,False,1,0,0,36,48,38,44,False
False,False,8,301,674,1724,4684,False,"Paducah, KY",False,False,4,0,0,120,63,49,61,False
False,False,14,757,983,8267,5594,False,"Ann Arbor, MI",False,False,2,1,3,111,120,119,112,False
False,False,4,179764,5081,58010,87640,True,Sin City,True,False,2,0,1,75,110,95,113,False
False,False,4,331,985,3033,2951,False,NYC,True,False,0,0,0,107,106,105,93,False
False,False,1,253,1176,7773,14696,False,"Valledupar, Colombia",False,False,5,0,5,89,91,89,87,True
False,False,3,0,0,54,123,False,,False,False,2,0,3,104,100,63,62,False
False,False,11,115,182,2458,1723,False,Kuwait-Egypt,True,False,5,0,0,2,9,0.0,2,False
False,False,9,0,37,29,242,False,Arlington,False,False,2,0,5,102,103,119,99,True
False,False,16,437,333,181522,59941,False,NorCal,True,False,2,0,0,38,112,71,41,False
False,False,3,197,303,31328,2485,False,,False,False,0,0,2,33,34,30,28,False
False,False,7,341861,892,6,1198,False,"İstanbul, Türkiye",False,False,5,0,0,111,102,108,112,False
False,False,13,84,152,2056,2849,False,"Miami, Fl",True,False,4,0,1,114,65,55,103,True
False,False,3,9722,4763,7035,15023,True,"Raleigh, NC",False,False,5,0,0,113,100,86,107,False
False,False,11,18,0,247,54,False,,True,False,3,0,3,109,67,71,112,True
False,False,13,189,479,6049,7832,False,The real real America,False,False,1,1,1,114,123,127,127,False
False,False,8,351,348,72673,11111,False,"Norwalk, CT",False,False,0,0,0,21,31,32,17,False
False,False,1,5496,1341,2209,8137,True,Virginia,False,False,3,0,2,105,108,118,103,False
False,False,14,68,241,1317,1308,False,,False,False,5,0,0,55,106,50,90,False
False,False,4,2612,2328,1929,7966,False,Scotland ,False,False,5,0,0,0.0,14,14,98,False
False,False,10,2343,1616,11906,4257,False,"Boston, MA",False,False,1,0,2,111,111,122,116,False
False,True,7,1858,2,22,16775,False,"Providence, RI",True,True,0,0,0,107,70,46,61,True
False,False,14,20,0,343,60,False,,True,False,4,0,1,130,125,131,133,True
False,False,1,863826,715,1432,66195,False,USA,False,False,1,0,1,56,53,83,62,True
False,False,14,681,719,0,1271035,False,あんたのうしろ,False,True,0,0,0,33,20,7,11,True
False,False,8,190,920,40670,6350,False,☀️Cali ,False,False,3,0,1,64,53,121,66,False
False,False,1,43,46,1701,2545,False,,False,False,2,0,0,0.0,87,44,45,True
False,False,11,167,397,52233,12701,False,"Hereford, TX",False,False,3,0,2,66,110,111,72,False
False,False,1,465,532,16713,3207,False,Massachusetts,False,False,0,0,0,39,42,71,42,False
False,False,12,53,1124,398,440,False,,False,False,2,0,5,118,121,114,111,True
False,False,0.0,229166,881,14083,10693,True,,True,False,2,0,1,114,71,99,76,False
False,False,14,63512,6063,110891,281300,False,NYC to Pluto 🚀,False,False,1,0,2,86,93,82,84,False
False,False,15,5,0,25,180,False,,False,False,2,0,5,108,123,48,125,True
False,False,12,1033408,235,16,7196,False,,False,False,1,0,5,90,84,85,92,False
False,False,9,871162,215,766,4015,True,"Chicago, IL",True,False,3,0,2,102,121,120,117,False
False,False,6,116119,18714,1067,49809,False,Brasil,False,False,1,0,0,42,114,75,46,False
False,False,3,1631967,4453,4145,147483,True,Paris,False,False,5,0,0,109,106,100,102,False
False,False,10,210,308,2504,5157,False,stads van bloemen,False,False,4,0,0,117,72,96,101,True
False,False,1,136332,85,32239,28101,True,"Vancouver, BC",False,False,3,0,1,117,115,108,115,False
False,False,0.0,231721,160,1857,14808,True,,False,False,2,0,0,96,33,45,31,False
False,False,7,59,167,583,854,False,M78,False,False,1,0,0,36,24,134,33,False
False,False,11,84,410,2364,3906,False,,False,False,2,0,3,94,112,111,115,True
False,False,20,1400411,2370,6351,16361,True,Santiago de Chile,False,False,0,0,5,111,110,106,112,False
False,False,12,1112686,52,40,271,True,Milano,False,False,5,0,1,79,33,105,97,False
False,False,9,468,327,2424,22937,False,Indonesia / Bandung,False,False,3,0,2,62,36,124,127,True
False,False,1,346,1341,12964,1700,False,"Des Moines, IA",False,False,3,0,0,120,68,33,119,False
False,False,10,13071,360,733,3747,False,NYC,True,False,5,0,0,104,100,100,98,False
False,False,16,10,0,242,35,False,,True,False,2,0,5,90,116,129,114,True
False,False,11,707532,1421,268,70324,True,Nigeria ,False,False,5,0,0,73,58,77,70,False
False,False,6,1505221,20735,1504,1289205,False,"Caracas, Venezuela",False,False,5,0,0,104,104,103,105,False
False,False,4,2733,336,7567,2650,False,Philadelphia,False,False,4,0,1,108,96,100,99,False
False,False,2,100474,568,2289,65255,True,"Pacific Place Mall, Jakarta",False,False,5,0,0,103,93,101,101,False
False,False,9,703,670,18722,4077,False,"Albuquerque, NM",False,False,0,0,0,92,105,96,98,False
False,False,9,451,67,676,6424,False,,False,False,1,0,1,125,123,76,57,False
False,False,12,185,147,328,322,False,"Austin, TX",False,False,3,0,2,114,71,109,115,False
False,False,16,2897,1297,22268,6432,False,Tennessee,False,False,2,0,1,40,43,115,115,False
False,False,14,130,121,11173,6079,False,she/her,False,False,1,0,0,22,42,29,42,False
False,False,11,2666,1056,4896,14635,True,NYC,False,False,4,0,1,116,122,114,117,False
False,False,3,923830,195,579,7431,True,Toronto. NY. Barcelona,False,False,3,0,1,64,65,54,54,False
False,False,10,701,342,16386,12589,False,,False,False,1,0,0,30,58,86,45,False
False,False,3,1563866,255,689,5347,True,,False,False,3,0,2,115,116,120,119,False
False,False,6,3547,845,8741,9344,True,"NYC/Edgewater, NJ",False,False,4,0,1,100,104,108,109,False
False,False,6,1735,714,30876,36932,False,"San Antonio, TX",False,False,2,0,4,81,121,110,132,False
False,False,8,948,827,457,271207,False,,False,False,1,0,1,117,51,101,50,True
False,False,10,722082,1591,1311,39648,True,Bmore-Tarboro-Athens-LA-ATL,False,False,2,0,3,58,58,50,117,False
False,False,1,51857,1175,45820,16894,False,moon,False,False,5,0,0,69,65,65,65,False
False,False,14,176,1422,3322,9597,False,USA🇺🇸,False,False,2,0,0,112,129,89,109,False
False,False,4,3378,4992,79622,61480,False,ocala  florida,False,False,4,0,2,108,32,118,106,True
False,False,7,219,1052,40557,9774,False,Texas,False,False,4,0,2,121,28,68,113,False
False,False,9,88,243,13635,3718,False,"Streamwood, IL",False,False,0,0,0,19,27,27,16,False
False,False,20,3663,1955,1515,18490,False,ATL ~ WorldWide,False,False,3,0,0,101,107,109,98,False
False,False,0.0,132,2,5321,6487,False,,False,False,0,0,5,111,0.0,0.0,115,True
False,False,13,1304354,348,2559,9479,True,"Miami, FL",False,False,5,0,0,112,112,112,102,False
False,False,10,283,1566,3207,6812,False,"San Gabriel, CA - whittier ",False,False,4,0,4,55,81,70,56,False
False,False,1,1274677,666,14,41272,True,Pizza Planet,False,False,4,0,0,21,20,42,117,False
False,False,7,850760,1529,3844,37434,False,,False,False,5,0,0,10,9,10,9,False
False,False,7,468279,1372,29646,67830,True,,False,False,5,0,0,95,79,89,80,False
False,False,7,1544,1918,7229,43632,False,Maryland,False,False,2,0,0,83,88,100,99,False
False,False,12,10,8,2182,2968,False,the magical world of fashion,True,False,0,0,5,114,110,91,103,True
False,False,1,110647,755,30866,34401,True,"Santa Monica, CA",False,False,0,0,1,31,116,36,32,False
False,False,9,99,0,2409,4743,False,"West Chester, PA",False,False,3,0,5,116,110,106,123,True
False,False,6,387,989,25595,24658,False,🔬New York⛵️Rhode Island ⛳️,False,False,2,0,1,58,49,33,115,False
False,False,11,2534,2473,3733,11237,False,Pittsburgh,False,False,2,0,1,125,117,118,115,False
False,False,11,1091320,1538,5499,11013,True,México,True,False,3,0,3,107,119,121,108,False
False,False,5,1784645,225,300,1018,True,"Rotterdam, The Netherlands",False,False,5,0,1,105,105,104,105,False
False,False,10,1076,1674,1145,3411,False,"Orlando, FL",False,False,2,0,5,103,116,100,109,True
False,False,9,9,0,1139,1219,False,"Fort Worth, Texas",False,False,3,1,5,109,96,115,111,True
False,False,11,76,309,830,1558,False,United States,False,False,4,0,0,103,98,93,113,False
False,False,1,1650799,2853,1,1148003,True,,False,False,1,0,0,75,107,22,72,True
False,False,11,1317,933,80224,99490,False,"Texas, USA",False,False,3,0,3,76,111,98,106,False
False,False,10,1396,3402,39407,28996,False,"Las Vegas, NV",False,False,4,0,1,100,101,110,105,False
False,False,10,0,0,52,125,False,,False,False,4,0,4,58,124,52,65,False
False,False,0.0,1326732,806104,29430,54931,True,Snapchat: KalaniBallFree,False,False,1,0,0,45,48,38,56,True
False,False,16,831,704,285,66473,False,The United States of TK,False,False,1,0,3,113,120,111,108,False
False,False,4,2317,2436,33475,176739,False,"Lima, Peru",False,False,2,0,5,108,105,113,118,False
False,False,7,110,336,5909,9845,False,NY,False,False,1,0,2,85,83,88,81,False
False,False,7,894,474,24554,16766,False,,False,False,2,0,4,54,86,62,97,False
False,False,7,309,213,2724,13273,False,,False,False,2,0,0,106,55,68,100,False
False,False,1,136676,2351,1318,43127,True,London ,False,False,2,0,0,114,30,110,48,False
False,False,7,14414,7647,580095,569189,False,Canary Island.    España,False,False,4,0,5,33,113,46,30,True
False,False,12,1665,666,18677,37207,False,"San Francisco, CA",False,False,4,0,1,118,39,127,121,False
False,False,25,1135,2269,71872,40979,False,"Los Angeles, CA",False,False,0,0,1,137,111,104,107,False
False,False,8,595,952,119875,20771,False,DFW,False,False,2,0,1,117,122,120,108,False
False,False,7,3413902,804,6220,26066,True,In your heart,False,False,4,0,2,122,31,58,119,False
False,False,15,1842,994,49684,33423,False,Connecticut,False,False,3,0,0,91,39,84,116,False
False,False,6,534,63,11955,20353,False,,False,False,3,0,1,124,102,117,107,False
False,False,8,54610,230,1969,8383,True,,False,False,3,0,4,115,119,43,48,False
False,False,5,49,847,1214,1090,False,,False,False,2,0,5,103,100,101,110,False
False,False,5,205006,532,38019,17969,True,Polska,False,False,2,0,3,73,32,78,57,False
False,False,12,2718,2031,8124,21190,True,"Indianapolis, IN",False,False,3,0,2,123,121,123,110,False
False,False,14,170,615,14517,12007,False,Algarve/Lisboa 📍,False,False,4,0,4,28,89,49,20,False
False,False,11,76806,86652,4216,22087,False,بيروت,False,False,0,0,4,105,112,112,97,False
False,False,10,4,0,64,22,False,,True,False,4,0,3,55,113,54,56,True
False,False,10,2646980,0,1270,411,True,Egypt,True,False,5,0,0,112,29,49,41,False
False,False,16,437,773,24476,8792,False,"Washington, DC",False,False,0,0,1,126,98,126,126,False
False,False,4,2280,1548,24592,14398,False,"Oklahoma, USA",False,False,4,0,4,122,119,120,121,False
False,False,0.0,4963608,26,23,2988,True,India,False,False,5,0,0,102,98,100,101,False
False,False,16,8842,1012,1522,6321,False,"San Antonio, TX",False,False,5,0,0,100,105,106,104,False
False,False,12,208,752,14057,3048,False,"New Orleans, LA",False,False,3,0,1,45,48,92,48,False
False,False,11,239,636,229,3192,False,"ÜT: 38.67507,-90.316079",False,False,0,0,0,2,3,2,3,False
False,False,6,42434182,24,1,42949,True,MUMBAI,False,False,3,0,0,108,120,110,57,False
False,False,8,0,0,67,147,False,,False,False,4,0,4,106,124,111,117,False
False,False,1,3,0,56,112,False,"Saudi,Arabia",False,False,5,0,5,100,99,80,66,True
False,False,12,779,458,7227,30846,False,"Montclair, VA",False,False,3,0,5,91,100,102,100,False
False,False,9,101,170,582,1983,False,"New York, NY",False,False,3,0,0,105,108,107,124,False
False,False,6,98,1150,4898,1368,False,,False,False,2,0,1,99,75,75,71,False
False,False,1,380,358,286,1123,True,New York and LA,False,False,3,0,1,104,111,123,106,False
False,False,3,15909,717,501,5121,True,"Detroit, Michigan  ",False,False,5,0,0,106,83,103,105,False
False,False,3,23997,928,702,52737,True,Valley of the Sun,False,False,4,0,0,111,63,54,122,False
False,False,10,1245,566,18707,58331,False,California,False,False,1,0,1,56,116,59,65,False
False,False,22,54,440,7568,1015,False,"Planet Earth, StarDate -309401",False,False,3,0,3,100,113,79,82,False
False,False,9,121,623,10395,4131,False,,False,False,2,0,2,90,61,58,111,False
False,False,8,549,1158,3730,5163,False,,False,False,0,0,5,104,109,108,108,False
False,False,10,542,130,14733,7868,False,,False,False,2,0,0,114,91,106,44,False
False,False,9,83,126,6,5820,False,"Conway, AR",False,False,2,0,0,104,115,109,89,True
False,False,15,133,394,1933,603,False,"Arlington, WA",True,False,5,0,3,51,54,93,58,False
False,False,3,8,22,584,719,False,"Hyderabad, India",False,False,2,0,1,113,116,115,95,True
False,False,26,63084,3128,77988,72934,True,"Philadelphia, PA",True,False,1,0,5,116,108,117,109,False
False,False,1,3942,966,48695,7410,False,"Chicago, IL, USA",False,False,0,0,0,106,54,112,49,False
False,False,7,474,484,1083,3760,False,"Greensboro, NC",False,False,5,0,0,47,48,107,105,False
False,False,4,370,219,6932,4322,False,"Manzanillo, Colima",False,False,0,1,3,83,38,65,101,False
False,False,1,2656730,214,489,4498,True,,False,False,5,0,0,85,98,76,86,False
False,False,6,1362122,688,91,12812,False,"Harlem, NYC",False,False,4,0,0,23,68,66,128,False
False,False,16,233,523,96,9284,False,"atlanta, ga",False,False,2,0,3,94,120,118,116,False
False,False,1,206733,1978,3415,16339,True,"Toronto, Ontario",False,False,1,0,2,100,50,49,108,False
False,False,1,2439549,533,151,141673,True,,False,False,5,0,0,47,62,76,55,True
False,False,9,750,397,50660,68931,False,"Miami, FL",False,False,4,0,4,49,83,34,44,False
False,False,21,1161,1497,13289,9329,False,"Texas, USA",False,False,3,1,0,91,91,97,98,False
False,False,5,731,227,39228,32322,False,"pg, md • la • atl",False,False,1,0,1,67,66,66,74,False
